,data,admissoes,demissoes,saldo
0,2020-01-01,1384986.0,1292308.0,92678.0
1,2020-02-01,1483832.0,1285464.0,198368.0
2,2020-03-01,1347665.0,1579981.0,-232316.0
3,2020-04-01,617644.0,1519961.0,-902317.0
4,2020-05-01,716330.0,1069120.0,-352790.0
5,2020-06-01,910176.0,933287.0,-23111.0
6,2020-07-01,1061898.0,938601.0,123297.0
7,2020-08-01,1257362.0,1019237.0,238125.0
8,2020-09-01,1406746.0,1093182.0,313564.0
9,2020-10-01,1571402.0,1182464.0,388938.0
10,2020-11-01,1552837.0,1143889.0,408948.0
11,2020-12-01,1256247.0,1338365.0,-82118.0
12,2021-01-01,1550075.0,1293016.0,257059.0
13,2021-02-01,1715425.0,1317510.0,397915.0
14,2021-03-01,1626885.0,1450555.0,176330.0
15,2021-04-01,1396311.0,1282389.0,113922.0
16,2021-05-01,1558316.0,1279611.0,278705.0
17,2021-06-01,1609748.0,1299712.0,310036.0
18,2021-07-01,1666051.0,1349326.0,316725.0
19,2021-08-01,1819411.0,1446067.0,373344.0
20,2021-09-01,1789967.0,1472974.0,316993.0
21,2021-10-01,1760739.0,1507656.0,253083.0
22,2021-11-01,1772766.0,1448654.0,324112.0
23,2021-12-01,1437910.0,1703721.0,-265811.0
24,2022-01-01,1777646.0,1622468.0,155178.0
25,2022-02-01,2013143.0,1684636.0,328507.0
26,2022-03-01,1953071.0,1816882.0,136189.0
27,2022-04-01,1854557.0,1657591.0,196966.0
28,2022-05-01,1960960.0,1683942.0,277018.0
29,2022-06-01,1898876.0,1620932.0,277944.0
30,2022-07-01,1886537.0,1667635.0,218902.0
31,2022-08-01,2051800.0,1773161.0,278639.0
32,2022-09-01,1926572.0,1648487.0,278085.0
33,2022-10-01,1789462.0,1630008.0,159454.0
34,2022-11-01,1747894.0,1612399.0,135495.0
35,2022-12-01,1382923.0,1813934.0,-431011.0
36,2023-01-01,1874226.0,1790929.0,83297.0
37,2023-02-01,1949844.0,1708059.0,241785.0
38,2023-03-01,2168418.0,1973247.0,195171.0
39,2023-04-01,1865279.0,1685274.0,180005.0
40,2023-05-01,2000202.0,1844932.0,155270.0
41,2023-06-01,1914130.0,1756932.0,157198.0
42,2023-07-01,1883198.0,1740496.0,142702.0
43,2023-08-01,2099211.0,1878367.0,220844.0
44,2023-09-01,1917057.0,1705293.0,211764.0
45,2023-10-01,1941281.0,1750915.0,190366.0
46,2023-11-01,1866752.0,1736655.0,130097.0
