,2023-03,total,proporcao
alimentacao_bebidas,0.05,3.377670634920635,0.014803101132202267
habitacao,0.31,3.377670634920635,0.09177922701965405
artigos_residencia,0.11666666666666665,3.377670634920635,0.03454056930847195
vestuario,0.16499999999999998,3.377670634920635,0.04885023373626748
transportes,0.5539999999999999,3.377670634920635,0.1640183605448011
saude,0.5983333333333333,3.377670634920635,0.17714377688202043
despesas_pessoais,0.5671428571428571,3.377670634920635,0.1679094614138371
educacao,0.50875,3.377670634920635,0.1506215540201581
comunicacao,0.5077777777777778,3.377670634920635,0.15033371594258746
