Date,IPCA-EX0,IPCA-EX1,IPCA-EX2,IPCA-EX3,IPCA-MA,IPCA-MS,IPCA-DP,IPCA-P55,media,ipca_anual
2013,0.066979380709691,0.066979380709691,0.066979380709691,0.066979380709691,0.066979380709691,0.066979380709691,0.066979380709691,0.066979380709691,0.066979380709691,0.0332487793889726
2014,0.06603654779839818,0.06603654779839818,0.06603654779839818,0.06603654779839818,0.06603654779839818,0.06603654779839818,0.06603654779839818,0.06603654779839818,0.06603654779839818,0.0640761659639197
2015,0.08370292231641363,0.08370292231641363,0.08370292231641363,0.08370292231641363,0.08370292231641363,0.08370292231641363,0.08370292231641363,0.08370292231641363,0.08370292231641363,0.1067349799562171
2016,0.06225931801752216,0.06225931801752216,0.06225931801752216,0.06225931801752216,0.06225931801752216,0.06225931801752216,0.06225931801752216,0.06225931801752216,0.06225931801752216,0.0628805505422447
2017,0.03281997091716815,0.03281997091716815,0.03281997091716815,0.03281997091716815,0.03281997091716815,0.03281997091716815,0.03281997091716815,0.03281997091716815,0.03281997091716815,0.029473499083459
2018,0.028155321160003632,0.028155321160003632,0.028155321160003632,0.028155321160003632,0.028155321160003632,0.028155321160003632,0.028155321160003632,0.028155321160003632,0.028155321160003632,0.0374548212182734
2019,0.031155992413520295,0.031155992413520295,0.031155992413520295,0.031155992413520295,0.031155992413520295,0.031155992413520295,0.031155992413520295,0.031155992413520295,0.031155992413520295,0.0430603998411318
2020,0.028496186217618735,0.028496186217618735,0.028496186217618735,0.028496186217618735,0.028496186217618735,0.028496186217618735,0.028496186217618735,0.028496186217618735,0.028496186217618735,0.0451734150050988
2021,0.07359352867253666,0.07359352867253666,0.07359352867253666,0.07359352867253666,0.07359352867253666,0.07359352867253666,0.07359352867253666,0.07359352867253666,0.07359352867253666,0.100610548932579
2022,0.09085869234253585,0.09085869234253585,0.09085869234253585,0.09085869234253585,0.09085869234253585,0.09085869234253585,0.09085869234253585,0.09085869234253585,0.09085869234253585,0.0578484195960775
